"ID","Key","Value"
"15603b4a-2055-4a4e-a5a8-bde62073c06c","en_Name","Systems Engineering Process Model"
"15603b4a-2055-4a4e-a5a8-bde62073c06c","de_Name","Systems Engineering Prozessmodell"
"15603b4a-2055-4a4e-a5a8-bde62073c06c","de_Purpose","Das ist das interaktive Systems Engineering Prozessmodell - ein Teil des Produktes der Gesellschaft für Systems Engineering (GfSE, German INCOSE Chapter).

ANWENDUNGSHINWEISE
Navigation über Ansichte:
- im ""Model Tree"": ""Views"" aufklappen, die Ansicht ""01 - Systemlebenszyklusprozesse"" auswählen;
- für detaillierte Beschreibung der Einheiten im interaktiven Prozessmodell die Einheit (den Prozess, den Input oder den Output) auf der Ansicht mit linke Maustaste auswählen;
- für die Ansicht mit Inputs und Outputs auf das blaue Quadrat neben dem Prozessnamen klicken;
- für die Ansicht mit der Auflistung der Prozesse das blaue Rechteck mit dem Ansichtnamen ""01 - Systemlebenszyklusprozesse"" klicken.

Suche in der Liste der Einheiten im Prozessmodell:
- im ""Model Tree"": ""Model Content - Business"" aufklappen, Suche-Funktion im Browser aktivieren (Strg+F für Windows), den Namen der Einheit tippen;
- die gefundene Einheit mit Mouseclick auswählen.

Anmerkungen oder Fragen:
- als Issue im Git-Repository hinterlassen: https://git.io/JTFMF
- eine E-Mail an se-terms@gfse.de schreiben
---

Das Produkt der GfSE (German INCOSE Chapter)
Erstellt am: 27.06.2019
Aktualisiert am: 14.04.2021, v.1.1
Erstellt in der Arbeitsgruppe ""Terminologie im Systems Engineering""
https://gfse.de/prozessmodell
Source Model *.archimate: https://git.io/JTi9N
IT-Tool für Source Model: https://www.archimatetool.com
MACHT MIT: se-terms@gfse.de"
"15603b4a-2055-4a4e-a5a8-bde62073c06c","en_Purpose","*** Welcome to the Digital Systems Engineering Process Model - Product of INCOSE ***
This report was generated by a model in HTML format. It serves as an interactive handbook, allowing users to click on individual processes to learn more about their purpose. By clicking on the blue square within each process, users can delve deeper to review the process's inputs, outputs, and definition.

Additionally, users have the option to execute SQL queries to obtain a subset of the database that underlies the report. 

The source model, available in .archimate-file format for Archi tool, xml-file in the Open Exchange Format, or .csv-files, can be downloaded and modified with a preferred tool.
https://github.com/alef1986/Systems-Engineering-Process-Model

Please take note of the Application and Copyright notes provided below.

Created by: Alexander Efremov, CSEP, SE-ZERT B
alexander.efremoff@gmail.com; https://www.linkedin.com/in/alexander-efremov-88b65b28/

*** Application notes ***
To navigate through the interactive process model, follow these steps:
1. In the ""Model Tree,"" expand ""Views"" and select the view titled ""01 - System Life Cycle Processes.""
2. To obtain a detailed description of the units within the model (including processes, inputs, and outputs), click on the unit of interest using the left mouse button.
3. To view the inputs and outputs associated with a specific process, click on the blue square located next to the process name.
4. To view the list of processes within the ""01 - System Life Cycle Processes"" view, click on the blue rectangle associated with this view.

To search for a specific unit within the process model, follow these steps:
1. In the ""Model Tree,"" expand ""Model Content - Business.""
2. Activate the search function in your browser by pressing Ctrl+F (for Windows).
3. Type the name of the unit you are searching for in the search bar.
4. Use the mouse to select the unit found by the search function.

To execute SQL queries within the process model, follow these steps:
1. Click on ""Query"" located under ""Systems Engineering Process Model.""
2. Type in your query. Please note that knowledge of the data structure of the Archi tool is required for this step. For more information on SQL queries in the HTML report, please see the Archi Wiki at https://github.com/archimatetool/archi/wiki/SQL-queries-in-the-HTML-report.

To contact the author or report an issue:
1. follow the link on GitHub: https://git.io/JTFMF

*** Copyright notes ***
Different parts of this product have different copyright owners. Use of this product, is expressly subject to prior consent from the following parties: INCOSE, ISO or a national representative body, Wiley and the German Chapter of INCOSE GfSE e.V. (the “Consenting Parties”)
 
INCOSE grants permission, subject to consent from the additional Consenting Parties, on the following terms and conditions:
 
Author Use. Authors have full unfettered rights to use their contributions, with credit and attribution to the INCOSE Technical source, except with regard to abstraction, which requires additional credit to the source.
 
INCOSE Internal Use. Members of INCOSE are hereby permitted to reproduce and use this document, or parts thereof, including permission to prepare derivative works from this document for INCOSE’s internal use, with credit and attribution to INCOSE so long as this copyright notice is included with all reproductions and derivative works. 
 
INCOSE External Use. Sharing and reproduction of this document to non-affiliate third parties outside of INCOSE is permitted only when shared or reproduced in whole and not altered in any way. Any preparation of derivative works for external and/or commercial use is expressly prohibited unless otherwise granted in a separate written agreement between the end-user and INCOSE. Any external use not expressly permitted under this section shall be prior approved by INCOSE upon receipt of written request for the same sent to: INCOSE Central Office, 7670 Opportunity Road, Suite 220, San Diego, CA 92111-2222. 
 
INCOSE Corporate Advisory Board Use.  Member companies of the INCOSE Corporate Advisory Board are permitted to post and use this document internally, subject to the INCOSE External Use restrictions set forth above. 
 
This product contains quotations from ISO/IEC/IEEE 15288:2015. © ISO. These quotations are reproduced with permission of the American National Standards Institute (ANSI) on behalf of the International Organization for Standardization. These quotations are explicitly marked with a copyright note. All rights reserved.
 
This product contains quotations from the Book ""INCOSE Systems Engineering Handbook: A Guide for System Life Cycle Processes and Activities, 4th Edition"", ISBN: 978-1-118-99940-0, published by  John Wiley & Sons, Inc., authored by David D. Walden, ESEP, Garry J. Roedler, ESEP, Kevin J. Forsberg, ESEP, R. Douglas Hamelin, Thomas M. Shortell, CSEP. Permission is granted by John Wiley & Sons, Inc. All rights reserved.
 
This product contains quotations from the German translation of the aforementioned Handbook: ""INCOSE Systems Engineering Handbuch: Ein Leitfaden für Systemlebenszyklus-Prozesse und -Aktivitäten"", ISBN: 978-3-9818805-0-2, published by John Wiley & Sons, Inc., Authors of the translation: Dr. David Endler, CSEP, SE-Zert® Level A Martin Geisreiter, ESEP. SE-Zert® Level A Rüdiger Kaffenberger, SE-Zert® Level A Jürgen Rambo. © Gesellschaft für Systems Engineering e.V.

This product was created using the Archi modelling tool (www.archimatetool.com), distributed under an MIT type license. All rights reserved.

*** German Version of the product ***
This product is an improvement of the product of the GfSE (German INCOSE Chapter)
Created on: 06/27/2019
Updated on: 04/14/2021, v.1.1
Created in the working group ""Terminology in Systems Engineering""
https://gfse.de/processmodel"
"029eec0c-36b5-42e0-8bed-96cd6d7182c4","en_Name","Project Assessment and Control"
"029eec0c-36b5-42e0-8bed-96cd6d7182c4","de_Name","Projektbewertung und -steuerung"
"029eec0c-36b5-42e0-8bed-96cd6d7182c4","de_Desc","Gemäß ISO/IEC/IEEE 15288 (laut INCOSE Handbuch 4.0 - übersetzt von GfSE):
""[6.3.2.1] Der Zweck des Prozesses ""Projektbewertung und -steuerung"" ist es einzuschätzen, ob die Pläne abgestimmt und durchführbar sind. Darüber hinaus wird der Zustand des Projekts sowie die technische und die Prozessleistung ermittelt und das Projekt so gelenkt, dass die Ergebnisse den Aktivitäts- und Terminplänen entsprechen, innerhalb des geplanten Budgets liegen und die technischen Ziele erreicht werden""."
"029eec0c-36b5-42e0-8bed-96cd6d7182c4","en_Desc","As stated in ISO/IEC/IEEE 15288,
[6.3.2.1] The purpose of the Project Assessment and Control process is to assess if the plans are aligned and feasible; determine the status of the project, technical and process performance; and direct execution to ensure that the performance is according to plans and schedules, within projected budgets, to satisfy technical objectives."
"13e0bed5-2e8c-4178-a392-b9b7080c92d6","en_Name","Quality Management"
"13e0bed5-2e8c-4178-a392-b9b7080c92d6","de_Name","Qualitätsmanagement"
"13e0bed5-2e8c-4178-a392-b9b7080c92d6","de_Desc","Gemäß ISO/IEC/IEEE 15288 (laut INCOSE Handbuch 4.0 - übersetzt von GfSE):
""[6.2.5.1] Der Zweck des Prozesses ""Qualitätsmanagement"" besteht darin sicherzustellen, dass die Produkte und Dienstleistungen sowie die Anwendung des qualitätsmanagements die Qualitätsziele der Organisation erreichen und die Kunden zufriedenstellen""."
"13e0bed5-2e8c-4178-a392-b9b7080c92d6","en_Desc","As stated in ISO/IEC/IEEE 15288,
[6.2.5.1] The purpose of the Quality Management process is to assure that products, services and implementations of the quality management process meet organizational and project quality objectives and achieve customer satisfaction."
"13e19b84-beca-474c-8ab9-9d006c72bffb","en_Name","Stakeholder Needs and Requirements Definition"
"13e19b84-beca-474c-8ab9-9d006c72bffb","de_Name","Definition der Stakeholder-Bedarfe und -Anforderungen"
